,lat,lon,market_penetration,mp_scaled
84,42.0621,-70.8044,0.0011779223693067086,0.005054434067735176
85,42.4563,-71.2167,0.0002846569883290635,0.0011834232868897937
86,42.4426,-71.2265,5.766347595433053e-05,0.00019973540163574575
87,42.3259,-71.1341,9.671647565162726e-05,0.0003689735542294713
88,42.3431,-71.123,0.0005799870355839105,0.0024632510079415954
89,42.3528,-71.1875,0.000164866870002473,0.0006643067406138549
90,42.3341,-71.1833,0.0006808064938465567,0.002900157237786253
91,42.3492,-71.2267,8.539709649871905e-05,0.00031992045123624034
92,42.3441,-71.248,0.00024703557312252963,0.0010203889782101454
93,42.37,-71.1773,0.00021865433872680703,0.0008973974611770998
94,42.4202,-71.1565,0.00015202189115232594,0.0006086423740465194
95,42.4162,-71.1752,0.00024195499637067505,0.0009983720414764989
