Purchaser State,Purchaser City,Purchaser Zip,Booking Window,# of Guest Days
Connecticut,FAIRFIELD,6824,15+ Days,4
Connecticut,GREENWICH,6830,15+ Days,4
Connecticut,GREENWICH,6831,03 Days,5
Connecticut,GREENWICH,6831,04-7 Days,13
Connecticut,NEW CANAAN,6840,02 Days,13
Connecticut,NEW CANAAN,6840,04-7 Days,19
Connecticut,NEW CANAAN,6840,08-14 Days,4
Connecticut,NORWALK,6851,15+ Days,8
Connecticut,NORWALK,6854,15+ Days,2
Connecticut,NORWALK,6855,04-7 Days,3
Connecticut,NORWALK,6855,15+ Days,2
Connecticut,OLD GREENWICH,6870,04-7 Days,10
Connecticut,WESTPORT,6880,02 Days,2
Connecticut,WESTPORT,6880,03 Days,1
Connecticut,WESTPORT,6880,04-7 Days,4
Connecticut,WESTPORT,6880,15+ Days,15
Connecticut,WILTON,6897,04-7 Days,3
Connecticut,WILTON,6897,08-14 Days,2
Connecticut,STAMFORD,6901,15+ Days,3
Connecticut,STAMFORD,6902,03 Days,3
Connecticut,STAMFORD,6902,04-7 Days,2
Connecticut,STAMFORD,6902,08-14 Days,2
Connecticut,STAMFORD,6902,15+ Days,3
Connecticut,STAMFORD,6903,02 Days,3
Connecticut,STAMFORD ,6907,15+ Days,3
New Jersey,BOONTON TWP.,7005,03 Days,2
New Jersey,NORTH CALDWELL,7006,04-7 Days,3
New Jersey,WEST CALDWELL,7006,15+ Days,1
New Jersey,CLIFFSIDE PARK,7010,04-7 Days,3
New Jersey,CLIFTON,7013,15+ Days,6
New Jersey,CRANFORD,7016,02 Days,4
New Jersey,CRANFORD,7016,08-14 Days,2
New Jersey,EDGEWATER,7020,03 Days,1
New Jersey,ESSEX FELLS,7021,15+ Days,3
New Jersey,FORT LEE,7024,15+ Days,12
New Jersey,HOBOKEN,7030,02 Days,7
New Jersey,HOBOKEN,7030,03 Days,6
New Jersey,HOBOKEN,7030,04-7 Days,8
New Jersey,HOBOKEN,7030,08-14 Days,6
New Jersey,HOBOKEN,7030,15+ Days,19
New Jersey,LIVINGSTON,7039,02 Days,6
New Jersey,LIVINGSTON,7039,04-7 Days,4
New Jersey,MILLBURN,7041,03 Days,3
New Jersey,MONTCLAIR,7042,08-14 Days,5
New Jersey,UPPER MONTCLAIR,7043,08-14 Days,8
New Jersey,MONTVILLE,7045,08-14 Days,4
New Jersey,NORTH BERGEN ,7047,15+ Days,2
New Jersey,CLARK,7066,08-14 Days,6
New Jersey,WATCHUNG,7069,04-7 Days,1
New Jersey,RUTHERFORD,7070,08-14 Days,6
New Jersey,SHORT HILLS,7078,03 Days,3
New Jersey,SHORT HILLS,7078,08-14 Days,1
New Jersey,SHORT HILLS,7078,15+ Days,6
New Jersey,UNION,7083,15+ Days,3
New Jersey,WEEHAWKEN,7086,04-7 Days,2
New Jersey,UNION CITY,7087,04-7 Days,1
New Jersey,UNION CITY,7087,08-14 Days,3
New Jersey,WESTFIELD,7090,02 Days,3
New Jersey,WESTFIELD,7090,08-14 Days,12
New Jersey,WESTFIELD,7090,15+ Days,14
New Jersey,SECAUCUS,7094,02 Days,2
New Jersey,NUTLEY,7110,08-14 Days,6
New Jersey,NUTLEY,7110,15+ Days,3
New Jersey,ELIZABETH,7208,02 Days,1
