ZIP CODE,STATE,MSA Name
46175,IN,"Indianapolis-Carmel, IN MSA"
46176,IN,"Indianapolis-Carmel, IN MSA"
46180,IN,"Indianapolis-Carmel, IN MSA"
46181,IN,"Indianapolis-Carmel, IN MSA"
46182,IN,"Indianapolis-Carmel, IN MSA"
46183,IN,"Indianapolis-Carmel, IN MSA"
46184,IN,"Indianapolis-Carmel, IN MSA"
46186,IN,"Indianapolis-Carmel, IN MSA"
46201,IN,"Indianapolis-Carmel, IN MSA"
46202,IN,"Indianapolis-Carmel, IN MSA"
46203,IN,"Indianapolis-Carmel, IN MSA"
46204,IN,"Indianapolis-Carmel, IN MSA"
46205,IN,"Indianapolis-Carmel, IN MSA"
46206,IN,"Indianapolis-Carmel, IN MSA"
46207,IN,"Indianapolis-Carmel, IN MSA"
46208,IN,"Indianapolis-Carmel, IN MSA"
46209,IN,"Indianapolis-Carmel, IN MSA"
46211,IN,"Indianapolis-Carmel, IN MSA"
46214,IN,"Indianapolis-Carmel, IN MSA"
46216,IN,"Indianapolis-Carmel, IN MSA"
46217,IN,"Indianapolis-Carmel, IN MSA"
46218,IN,"Indianapolis-Carmel, IN MSA"
46219,IN,"Indianapolis-Carmel, IN MSA"
46220,IN,"Indianapolis-Carmel, IN MSA"
46221,IN,"Indianapolis-Carmel, IN MSA"
46222,IN,"Indianapolis-Carmel, IN MSA"
46223,IN,"Indianapolis-Carmel, IN MSA"
46224,IN,"Indianapolis-Carmel, IN MSA"
46225,IN,"Indianapolis-Carmel, IN MSA"
46226,IN,"Indianapolis-Carmel, IN MSA"
46227,IN,"Indianapolis-Carmel, IN MSA"
46228,IN,"Indianapolis-Carmel, IN MSA"
46229,IN,"Indianapolis-Carmel, IN MSA"
46230,IN,"Indianapolis-Carmel, IN MSA"
46231,IN,"Indianapolis-Carmel, IN MSA"
46234,IN,"Indianapolis-Carmel, IN MSA"
46235,IN,"Indianapolis-Carmel, IN MSA"
46236,IN,"Indianapolis-Carmel, IN MSA"
46237,IN,"Indianapolis-Carmel, IN MSA"
46239,IN,"Indianapolis-Carmel, IN MSA"
46240,IN,"Indianapolis-Carmel, IN MSA"
46241,IN,"Indianapolis-Carmel, IN MSA"
46242,IN,"Indianapolis-Carmel, IN MSA"
46244,IN,"Indianapolis-Carmel, IN MSA"
